Name,Label,URL,Latitude,Longitude
Broadford,Broadford,https://www.wikidata.org/wiki/Q922593,57.24,-5.88
Brocksburn,"Broxburn, West Lothian",https://www.wikidata.org/wiki/Q991350,55.9344,-3.47134
Brodick,Brodick,https://www.wikidata.org/wiki/Q924520,55.57555556,-5.150555556
Broughton,"Broughton, Scottish Borders",https://www.wikidata.org/wiki/Q3997390,55.6157,-3.4114
Broughty Ferry,Broughty Ferry,https://www.wikidata.org/wiki/Q459773,56.4672,-2.86991
Broxburn,"Broxburn, West Lothian",https://www.wikidata.org/wiki/Q991350,55.9344,-3.47134
Brucklaw,Brucklay Castle,https://www.wikidata.org/wiki/Q4978583,57.5414,-2.1504
Bruntisland,Burntisland,https://www.wikidata.org/wiki/Q1011521,56.05,-3.233333333
Buchanan,Buchanan Castle,https://www.wikidata.org/wiki/Q13581703,56.0656,-4.47194
Buchlivie,Buchlyvie,https://www.wikidata.org/wiki/Q998625,56.11,-4.29
Buchlyvie,Buchlyvie,https://www.wikidata.org/wiki/Q998625,56.11,-4.29
Buckhaven,Buckhaven,https://www.wikidata.org/wiki/Q1016877,56.1776,-3.0303
Buckie,Buckie,https://www.wikidata.org/wiki/Q999708,57.67555556,-2.9825
Bucklyvie,Buchlyvie,https://www.wikidata.org/wiki/Q998625,56.11,-4.29
Buenos Aires,Buenos Aires,https://www.wikidata.org/wiki/Q1486,-34.59972222,-58.38194444
Buenos Ayres,Buenos Aires,https://www.wikidata.org/wiki/Q1486,-34.59972222,-58.38194444
Buness,Shetland,https://www.wikidata.org/wiki/Q47134,60.3038,-1.2689
Bunessan,Bunessan,https://www.wikidata.org/wiki/Q3776035,56.32,-6.23
Burghead,Burghead,https://www.wikidata.org/wiki/Q1013606,57.7004,-3.48468
Burnisland,Burntisland,https://www.wikidata.org/wiki/Q1011521,56.05,-3.233333333
Burntisland,Burntisland,https://www.wikidata.org/wiki/Q1011521,56.05,-3.233333333
Burntitland,Burntisland,https://www.wikidata.org/wiki/Q1011521,56.05,-3.233333333
Burton,"Burton, Northumberland",https://www.wikidata.org/wiki/Q5000779,55.595,-1.724
Burwick,"Burwick, Orkney",https://www.wikidata.org/wiki/Q16985724,58.74,-2.973
Bury,Bury,https://www.wikidata.org/wiki/Q47822,53.59315,-2.298552778
Busby,"Busby, East Renfrewshire",https://www.wikidata.org/wiki/Q5001296,55.7667,-4.25
Bute,Argyll and Bute,https://www.wikidata.org/wiki/Q750994,55.933,-5.349
Cabrach,Cabrach,https://www.wikidata.org/wiki/Q5015800,57.33,-3.03
Cadiz,Cádiz,https://www.wikidata.org/wiki/Q15682,36.51666667,-6.283333333
Cairnbulg,Cairnbulg Castle,https://www.wikidata.org/wiki/Q5017684,57.6656,-1.9736
Cairndow,Cairndow,https://www.wikidata.org/wiki/Q277053,56.2538,-4.93945
Cairnmoor,Cairnmore,https://www.wikidata.org/wiki/Q31083952,57.31231,-2.82586
Cairnmuir,Cairnmore,https://www.wikidata.org/wiki/Q31083952,57.31231,-2.82586
Cairnryran,Cairnryan,https://www.wikidata.org/wiki/Q3250447,54.971,-5.018
Caithness,Caithness,https://www.wikidata.org/wiki/Q864668,58.41666667,-3.5
Calais,Calais,https://www.wikidata.org/wiki/Q6454,50.9475,1.855555556
