Source,Target,SourceLabel,TargetLabel,Name,Name_From_Loc,From_Loc_Address,Type,Subtype,Travel_Frequecy,Directory,Date,Travel_Cost,Capacity_Persons,Notes,X
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1811450,Edinburgh,Leven,,,,Post,,300,postofficeannual18241825edin,1794,2,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q6548286,Edinburgh,Lilliesleaf,,Scott's,Candlemaker-row,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1016911,Edinburgh,Linlithgow,,Brown's,Grass-market,Carrier,,100,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1016911,Edinburgh,Linlithgow,,Johnston's,Grass-market,Carrier,,100,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1016911,Edinburgh,Linlithgow,,Mrs. Warden's,Grass-market,Coach,Stage,350,postofficeannual18241825edin,1794,3s 6d,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1016911,Edinburgh,Linlithgow,,,,Post,,350,postofficeannual18241825edin,1794,2,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q1016911,Glasgow,Linlithgow,,Paterson's,"first closs east from Candlerigs, Trongate",Carrier,,50,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1009895,Edinburgh,Linton,,Hay's,Canongate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1009895,Edinburgh,Linton,,Gowan's,fourth back of Canongate,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1009895,Edinburgh,Linton,,Brown's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1009895,Edinburgh,Linton,,,,Post,,100,postofficeannual18241825edin,1794,2,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q848287,Edinburgh,Livingston,,Scouler's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1011156,Edinburgh,Loanhead,,Landel's,Cowgate head,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3045684,Edinburgh,Lochcarron,,,,Post,,50,postofficeannual18241825edin,1794,6,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3257725,Edinburgh,Lochmaben,,Paterson's,Grass-market,Carrier,,"""one 2 week""",postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q3257725,Edinburgh,Lochmahen,,,,Post,,300,postofficeannual18241825edin,1794,4,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q216045,Edinburgh,Lockerby,,Paterson's,Grass-market,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q216045,Edinburgh,Lockerby,,,,Post,,300,postofficeannual18241825edin,1794,4,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q84,Edinburgh,London,,Kendel's,Hist at Hogg's Bri. Str.,Carrier,,50,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q84,Edinburgh,London,"""London and Newcastle Waggon""",McPherson's,Grass-market,Carrier,,100,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q84,Edinburgh,London,London Mail,,,Post,,300,postofficeannual18241825edin,1794,7,,,
https://www.wikidata.org/wiki/Q192896,https://www.wikidata.org/wiki/Q84,Carlisle,London,,Mr. Bain's,"Dunbar's closs, Trongate",Coach,Mail,300,glasgowdirectory1799unse,1799,5l 5s,,,
https://www.wikidata.org/wiki/Q1425428,https://www.wikidata.org/wiki/Q84,Newcastle,London,,Royal Charlotte,"Robertson's Blackbull, head of Leith walk",Coach,Stage,350,postofficeannual18241825edin,1794,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q84,Newcastle,London,,Drysdale's Turff coffee-house,No 1 St Andrew's street,Coach,Stage,350,postofficeannual18241825edin,1794,6l 6s,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q84,Glasgow,London,English Carriers,Henderson's,"north corner of the Bowling Green, Candlerigs",Carrier,,150,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q4093,https://www.wikidata.org/wiki/Q84,Glasgow,London,English Carriers,Scott's,Brunswick,Carrier,,200,glasgowdirectory1799unse,1799,,,,
https://www.wikidata.org/wiki/Q23436,https://www.wikidata.org/wiki/Q1016963,Edinburgh,Long Niddry,,Cunningham's,head of Todrick's wynd.,Carrier,,50,postofficeannual18241825edin,1794,,,,
